CreditScore,Age,AnnualIncome,DebtToIncomeRatio,LoanAmount
314,59,144579,0.48,49898
364,68,84680,0.94,25935
820,68,51017,0.29,32748
643,23,112038,0.42,25603
428,37,182062,0.79,4837
771,41,39515,0.55,37301
362,44,181063,0.55,10610
438,55,158706,0.05,29615
798,25,180449,0.4,12108
691,18,53001,0.27,39599
718,66,21391,1,23347
588,66,129388,0.31,35062
678,41,62215,0.88,49431
789,64,99720,0.68,8550
530,24,47114,0.34,29205
340,36,162954,0.54,19459
327,39,133142,0.84,47598
434,52,168345,0.88,46799
500,47,126206,0.16,24750
332,46,65647,0.34,45637
347,39,62679,0.34,28729
802,28,20427,0.04,39585
706,37,149669,0.6,19162
398,46,86267,0.85,46635
846,68,20799,0.38,45854
761,58,75659,0.74,11690
304,59,27025,0.63,30104
517,51,34481,0.38,17757
802,18,45411,0.14,15770
697,48,125928,0.71,48097
692,47,143014,0.85,11457
506,65,166033,0.69,43802
314,35,172839,0.02,18957
760,34,71690,0.22,30619
540,55,72870,0.07,21828
395,31,187207,0.57,18171
784,40,106928,0.76,35313
706,42,90765,0.11,47127
530,32,43772,0.84,14146
470,63,150417,0.56,47266
840,39,38799,0.69,46939
335,20,132051,0.97,15202
824,36,149941,0.08,38142
459,61,43555,0.9,22831
542,51,112152,0.13,10849
385,52,147219,0.39,21439
327,67,170405,0.85,17990
639,18,155333,0.91,14336
630,69,139833,0.51,36344
805,38,89002,0.59,23953
647,46,66553,0.71,6051
772,23,23088,0.83,11068
530,54,65783,0.12,17967
489,18,21115,0.81,22773
524,68,92908,0.48,44769
684,18,89109,0.45,32014
676,44,22978,0.42,9847
582,38,128943,0.51,5881
558,33,29422,0.95,42182
658,61,194698,0.55,8699
755,57,109233,0.95,25180
710,43,76174,0.18,49813
617,33,57743,0.72,38891
524,45,150288,0.81,49979
533,18,149000,0.68,4550
673,53,142778,0.61,23163
771,27,49430,0.56,44402
532,60,48834,0.86,30675
412,34,44435,0.82,45945
796,40,107212,0.12,33934
741,24,75797,0.85,27592
567,61,194626,0.41,42077
809,24,74555,0.25,24039
685,61,105350,0.87,43769
686,32,34716,0.43,24726
412,51,80261,0.81,35974
380,63,178600,0.26,35018
412,62,21995,0,5558
301,21,42414,0.5,33174
519,31,164916,0.1,31405
524,31,187731,0.75,43631
684,33,35522,0.28,3151
702,24,149632,0.44,38845
429,49,94034,0.09,16552
352,36,62322,0.29,36065
715,19,87638,0.78,42996
546,27,121334,0.15,3614
738,67,159596,0.65,35647
502,34,50846,0.92,1620
483,54,93643,0.68,24082
422,29,134930,0.81,22891
700,23,198775,0.11,42030
593,39,44399,0.25,33314
579,49,143182,0.89,24500
497,58,68591,0.72,35693
810,37,171786,0.64,29018
443,18,55877,0.66,20567
500,64,104106,0.41,26978
423,23,98018,0.04,11553
486,36,119854,0.78,10630
625,35,184486,0.68,13003
763,23,140832,0.47,42444
648,62,106576,0.9,21648
702,50,196540,0.34,32607
645,40,112508,0.29,38666
810,40,66835,0.87,25821
446,43,62464,0.8,15601
447,30,132454,0.51,46904
788,24,173995,0.13,48346
637,32,136062,0.22,7121
772,61,87445,0.66,39557
450,44,130454,0.39,17310
714,43,141906,0.84,23098
597,50,118384,0.95,46902
562,32,197218,0.81,24531
443,53,80032,0.38,40253
645,62,133521,0.79,10980
301,44,136378,0.35,37393
603,22,37140,0.17,45280
553,19,22670,0.03,9951
752,50,56519,0.39,9117
336,33,64512,0.9,26979
459,40,123565,0.24,9989
308,55,165763,0.21,17915
532,33,125156,0.97,30535
398,31,185334,0.03,33124
507,46,45595,0.79,45376
430,43,184512,0.32,34366
703,52,28630,0.04,8428
451,32,182322,0.92,25881
353,20,127461,0.14,5904
419,40,94191,0.55,36677
719,46,120591,0.27,47319
721,51,83753,0.07,9922
403,50,80520,0.05,32160
553,58,24008,0.12,3025
526,58,195536,0.07,14220
411,40,127408,0.76,46958
809,24,20496,0.49,3766
772,20,119767,0.34,19482
398,49,43212,0.42,34159
452,48,40637,0.93,11935
637,35,65227,0.91,4784
462,60,139753,0.72,24050
460,24,140118,0.88,21221
697,58,29884,0.32,30179
576,18,136481,0.38,19069
803,31,88259,0.61,36682
691,69,69810,0.62,26994
434,49,149926,0.48,47011
494,23,24761,0.4,29767
700,56,36375,0.99,13282
332,27,176290,0.82,21110
759,24,181637,0.43,46733
769,43,122654,0.73,32232
674,51,52975,0.27,45273
321,47,178145,0.1,5951
337,53,152955,0.35,8655
529,38,94489,0.4,30461
664,34,28381,0.02,5610
737,50,174310,0.81,32617
582,27,164867,0.36,18468
326,68,82999,0.58,8583
525,64,69907,0.07,26583
576,59,160710,0.17,18701
583,68,90467,0.89,7880
780,29,62623,0.61,36117
752,33,189564,0.95,24721
815,58,177483,1,40976
846,49,130724,0.37,27854
491,32,171606,0.3,47488
348,44,180253,0.86,7881
811,45,123069,1,4722
316,34,39996,0.63,21077
471,63,125682,0.8,16332
519,67,103609,0.78,40992
457,19,180477,0.36,14229
776,53,121490,0.57,8802
345,67,91325,0.83,23101
672,24,48930,0.69,12439
817,30,134426,0.02,36902
398,32,37529,0.34,3598
336,42,73546,0.14,27761
579,40,27942,0.23,5052
648,39,27548,0.91,13741
796,43,135248,0.04,4824
601,50,169368,0.22,37288
480,28,117780,0.31,2249
398,27,20296,0.62,23970
415,42,87945,0.53,16565
490,54,79980,0.22,19458
552,65,76782,0.16,46765
460,60,185301,0.24,3014
555,55,116382,0.5,5944
622,58,73444,0.27,34716
427,62,55036,0.95,44451
317,41,59322,0.46,15012
622,57,178239,0.06,38460
587,63,71667,0.73,4240
454,50,114527,0.33,43530
789,34,103337,0.65,14731
685,41,71468,0.28,19018
403,54,92894,0.57,43898
692,19,83138,0.77,18916
545,49,42588,0.93,41376
475,41,82901,0.26,28604
338,26,168743,0.33,46177
776,21,103038,0.46,21030
837,34,182717,0.93,12589
707,34,158709,0.9,22983
824,67,151732,0.09,13437
805,65,127211,0.13,28618
335,47,26922,0.5,10705
319,57,113697,0.11,23680
620,28,195793,0.35,16376
811,38,137217,0.15,26420
699,38,89506,0.64,45379
770,35,144338,0.95,41358
442,46,47843,1,40333
391,41,160118,0.38,2835
653,27,123064,0.6,22283
350,62,146417,0.86,43565
489,34,136585,0.12,36963
424,35,50346,0.69,47636
449,59,143152,0.41,10179
613,65,131769,0.21,29904
641,37,122391,0.4,42113
604,54,93143,0.08,34674
353,62,56787,0.7,12955
743,35,53583,0.25,49536
563,34,163635,0.31,8198
352,26,197132,0.12,2620
304,31,141943,0.86,45588
402,66,184762,0.49,12766
495,46,131233,0.57,32090
649,48,34925,0.57,42291
346,21,103184,0.41,5338
568,35,171180,0.19,49679
669,37,96515,0.75,6301
405,64,156427,0.13,16144
419,60,66069,0.1,14784
357,61,120854,0.71,3423
645,26,74471,0.21,9272
773,30,52705,0.31,2573
416,32,194981,0.48,25419
426,44,148501,0.45,17803
692,32,136361,0.71,34234
357,45,107273,0.62,49555
812,54,43241,0.64,6176
395,36,178486,0.71,37161
417,43,70818,0.29,43525
787,69,171967,0.32,16164
536,43,112307,0.44,13222
571,42,86920,0.31,26379
488,43,138642,0.98,26653
746,43,85453,0.81,19016
546,63,42689,0.16,19368
375,45,159324,0.01,24505
453,66,50844,0.04,33771
734,35,115687,0.24,41245
385,49,43365,0.11,39766
584,20,157098,0.53,34370
519,19,118303,0.86,8256
368,50,48523,0.74,44327
346,59,161554,0.22,47454
393,36,132105,0.4,29251
752,34,68888,0.51,47741
503,61,133884,0.81,32977
517,50,126968,0.84,33664
773,29,70110,0.91,7714
731,66,151565,0.51,42144
640,20,102001,0.69,12701
588,60,59767,0.11,15891
553,66,49550,0.57,37019
656,43,164905,0.25,28516
322,52,154042,0.43,41912
821,25,118315,0.63,10916
399,69,115494,0.26,3910
479,53,147424,0.05,19254
522,24,133855,0.01,45250
741,63,102681,0.02,37116
624,63,121489,0.01,18985
815,53,150546,0.11,23151
315,33,48900,0.24,6830
635,41,34126,0.22,45297
557,18,131198,0.99,41888
796,66,99303,0.31,19474
459,42,199066,0.13,6480
774,27,87061,0.55,10443
679,33,36978,0.86,40138
844,33,76344,0.68,33938
726,25,66648,0.3,3809
567,46,21055,0.56,40761
716,56,95582,0.71,27930
467,45,101214,0.73,24095
342,23,195948,0.67,12946
584,33,127954,0.87,4991
696,37,58725,0.87,24519
311,33,156327,0.58,27657
601,24,73380,0.43,1826
552,58,73333,0.64,43625
798,31,62459,0.82,17513
334,60,136518,0.01,18801
389,43,56163,0.99,30846
717,43,185043,0.18,40566
414,31,104730,0.47,24157
495,24,39476,0.87,29363
800,50,88580,0.23,6136
792,43,125576,0.48,18421
374,62,106593,0.13,13491
712,37,129071,0.4,8546
675,20,134832,0.18,6903
719,69,158579,0.36,47623
576,21,163190,0.37,17406
693,43,88682,0.99,15949
756,28,111713,0.99,10825
491,19,124060,0.11,7287
398,31,155486,0.73,45961
847,61,103030,0.05,35173
395,47,140360,0.03,43438
489,66,105973,0.11,18578
336,29,155009,0.97,42535
668,43,56731,0.94,8923
824,61,189737,0.19,35374
578,50,168572,0.16,42411
516,30,134360,0.24,9316
572,31,21750,0.52,45414
361,41,85018,0.57,11556
641,51,155099,0.22,11058
696,61,156817,0.76,40018
318,43,106984,0.31,35451
476,38,127983,0.92,26482
695,45,48451,0.66,45494
744,65,113743,0.44,26005
532,53,91474,0.79,20135
375,57,32150,0.82,24888
564,19,33406,0.29,33481
754,59,170853,0.34,29401
683,26,136047,0.94,41431
805,40,143971,0.16,25937
666,32,123157,0.04,46851
443,30,38325,0.45,14146
368,40,114415,0.8,31101
398,34,160508,0.77,12253
695,65,37669,0.92,49504
324,19,147385,0.53,4223
768,37,92010,0.1,6441
783,37,152915,0.59,43590
450,63,70812,0.78,41149
443,20,36059,0.09,13863
338,29,106269,0.17,38952
408,57,191840,0.01,30564
341,19,45395,0.59,17653
485,53,40202,0.89,25088
697,31,164345,0.67,23499
522,33,199961,0.98,43083
432,36,123235,0.06,24682
462,51,65510,0.9,33132
514,61,107945,0.81,5533
534,63,90649,0.31,18426
308,23,126723,0.97,15560
373,30,22881,0.29,35409
791,53,65913,0.89,16925
552,39,131860,0.88,23987
529,35,104785,0.76,11633
818,29,82457,0.56,37065
473,69,186415,0.12,31125
467,47,159728,0.53,4996
469,68,25741,0.36,1014
692,57,167733,0.79,15895
493,24,117091,0.76,2674
816,49,48690,0.91,38867
328,65,52833,0.01,21001
464,36,122566,0.81,18864
721,23,91240,0.94,27321
638,37,126898,0.79,25082
795,44,97711,0.13,41131
664,60,59023,0.08,6957
641,54,60209,0.02,5210
799,65,113590,0.63,49544
810,24,106612,0.63,19069
626,22,100522,0.99,35851
516,28,131654,0.4,27865
600,32,165512,0.33,19070
431,20,139107,0.62,5158
369,22,159032,0.83,36550
551,40,42462,0.94,21572
714,54,37821,0.8,5100
744,26,178330,0.43,45469
481,32,112889,0.63,16525
466,20,108952,0.86,19456
390,46,173187,0.49,1097
830,23,138066,0.22,10483
338,34,197505,0.17,37232
425,43,99364,0,2787
750,38,90077,0.72,41531
472,25,60644,0.11,22788
519,38,82643,0.24,34451
357,28,33311,0.3,17092
775,55,149466,0.56,2132
755,25,50531,0.4,13314
660,59,34588,0.67,39645
300,41,69416,0.06,23582
686,52,163452,0.12,28780
647,31,193717,0.5,33236
489,31,168890,0.34,14068
804,27,181929,0.3,48401
490,29,41711,0.07,49526
807,55,156169,0.9,12057
668,61,136348,0.69,34622
708,63,179465,0.12,39506
416,51,42076,0.07,3026
433,58,104274,0.97,27563
357,27,77609,0.68,39133
472,34,180389,0.42,3550
448,34,78480,0.7,31922
379,20,27044,0.76,8089
512,48,75486,0.78,17623
502,68,75162,0.48,13043
528,18,49882,0.43,2036
526,29,74078,0.01,23516
831,56,78734,0.93,22164
740,21,128730,0.6,7122
701,59,194898,0.2,48346
346,30,107985,0.92,32786
532,51,64028,0.91,49457
604,59,118938,0.99,17150
825,38,138319,0.87,23094
442,39,52543,1,12692
714,21,144279,0.24,13054
812,35,49362,0.84,2767
672,22,178387,0.82,5708
558,36,178818,0.23,42121
770,19,161129,0.1,30292
311,29,62915,0.98,29082
629,34,172133,0.3,35024
657,27,71370,0.87,27734
707,51,185229,0,43911
672,23,131375,0.02,24461
307,25,162394,0.47,6351
421,68,89812,0.24,48031
647,28,54017,0.69,34517
389,29,76792,0.57,18092
615,26,178814,0.08,40184
477,19,149198,0.16,40718
839,25,37629,0.39,46096
340,28,148614,0.19,26041
801,53,159317,0.79,26676
444,27,116950,0.42,35481
500,38,194942,0.09,13777
760,37,84829,0.48,25320
846,65,30588,0.09,9308
552,25,151514,0.13,44441
689,53,125280,0.24,49146
555,46,60721,0.86,16329
749,59,188217,0.92,14882
309,29,30599,0.83,5714
541,31,92594,0.33,27050
550,65,154011,0.27,44432
304,67,42149,0.55,16753
418,38,147616,0.72,30979
673,39,161280,0.99,46089
364,38,129034,0.13,15630
445,61,40951,0.05,18658
523,67,199992,0.69,4709
538,47,66766,0.83,34106
476,56,77014,0.85,40529
581,37,179423,0.68,38043
362,41,107122,0.95,12491
516,40,29308,0.51,40530
760,24,79252,0.91,9834
404,26,103211,0.97,15358
398,18,179136,0.85,10872
810,43,146534,0.31,22657
684,55,28720,0.2,25827
704,55,146204,0.55,9173
817,61,194012,0.45,17685
775,39,99993,0.88,12333
736,61,67113,0.1,12356
322,27,68926,0.26,41584
757,23,189275,0.75,45917
382,34,156464,0.09,12344
444,68,45905,0.32,49955
384,67,70385,0.39,45619
377,55,50653,0.62,40998
756,41,111865,0.16,42571
300,68,145813,0.86,16795
350,27,165871,0.45,30743
745,25,35052,0.92,2943
748,38,157116,0.47,25649
787,23,170943,0.28,47783
333,38,171306,0.14,22021
647,56,41381,0,9348
394,41,168346,0.53,12750
371,50,103108,0.11,6385
453,35,69892,0.39,17639
549,45,111501,0.59,20494
737,69,103391,0.28,43011
417,49,37920,0.18,38800
605,29,36702,0.77,40029
567,65,21894,0.95,19640
353,59,50985,0.1,36402
535,44,179359,0.16,2891
688,27,145702,0.96,29259
700,63,93527,0.04,29987
602,69,166511,0.98,11683
506,59,148676,0,10967
528,49,62235,0.87,13128
374,59,178731,0.31,41194
734,43,44976,0.94,35738
402,42,102643,0.32,29295
721,28,127631,0.65,21337
605,40,76697,0.08,23202
397,51,90382,0.24,7771
634,69,36651,0.77,44452
734,57,34633,0.53,13857
746,40,99164,0.93,32301
607,46,20569,0.43,32460
548,48,87509,0.87,22387
465,24,143425,0.45,10832
780,57,121126,0.98,48408
634,50,147522,0.96,13626
841,38,53038,0.33,19485
405,19,58138,0.89,14423
380,35,179829,0.85,32403
432,64,130740,0.21,31623
437,50,131174,0.62,17802
483,54,69272,0.07,17333
700,51,157980,0.84,36120
629,37,161916,0.17,29085
807,52,71455,0.07,23159
368,68,88447,0.4,25660
845,67,97108,0.58,35519
352,35,194138,0.85,29797
749,63,191076,0.97,20041
504,41,58333,0.44,45935
425,25,141219,0.06,23507
342,47,103029,0.75,6524
410,61,59697,0.57,19735
482,27,37634,0.45,28675
394,40,145520,0.31,48951
673,69,44561,0.5,18673
819,66,169105,0.34,45083
659,28,75063,0.76,36470
580,19,45921,0.54,42603
494,43,39340,0.88,20289
494,53,82781,0.54,32230
392,50,34901,0.24,15542
360,64,30638,0.85,46027
350,30,189668,0.56,36690
702,57,64324,0.21,7654
304,42,108356,0.62,3021
765,21,52642,0.36,47723
833,59,45378,0.84,21008
704,36,70867,0.45,23728
812,35,93686,0.73,25162
532,54,62875,0.1,28446
823,47,138171,0.4,30979
645,36,120061,0.98,49484
345,40,84377,0.81,45078
845,33,74691,0.16,5225
377,18,69063,0.28,10209
372,29,111782,0.33,45660
548,41,98343,0.65,16723
346,51,103071,0.76,46487
420,25,156564,0.75,4140
513,35,141399,0.51,12721
538,65,51357,0.81,3587
355,22,52314,0.44,44342
649,43,199769,0.12,40437
406,47,90283,0.56,19989
347,30,79567,0.95,33726
636,36,67006,0.79,6004
325,46,161758,0.58,15301
556,20,188521,0.65,33679
307,43,81606,0.93,29103
552,57,38891,0.43,42168
602,29,121732,0.33,8504
355,19,187795,0.98,37578
825,28,49877,0.86,7080
773,61,34026,0.32,8408
327,45,40422,0.46,5153
377,35,160316,0.42,12055
515,30,53481,0.15,20760
685,54,109180,0.96,18752
664,39,129384,0.4,25193
825,29,78031,0.88,4800
611,19,159593,0.19,2037
306,54,152818,0.55,31054
302,24,103127,0.02,27866
662,43,112254,0.76,1992
807,43,88232,0.58,24696
573,41,163084,0.63,38278
805,29,100224,0.05,34161
314,33,174529,0.21,9005
491,40,49960,0.07,30400
784,57,107695,0.29,17741
327,26,150066,0.63,18565
338,49,158982,0.57,40585
572,32,22693,0.61,35833
530,54,135313,0.55,13094
385,30,166930,0.27,32280
773,22,48810,0.24,47647
425,28,40092,0.14,45378
836,27,199772,0.85,20513
444,69,78105,0.62,1154
824,30,181577,0.19,31262
511,58,48555,0.18,29134
324,63,91934,0.87,43514
693,67,92788,0.74,9678
366,32,97257,0.66,7294
532,59,37939,0.41,10574
408,24,162897,0.26,36183
445,57,175223,0.98,49747
410,45,148068,0.8,2070
527,49,20036,0.3,19638
410,52,113948,0.85,48553
769,32,103707,0.76,27082
333,65,59051,0.3,17306
668,53,100738,0.43,43835
724,38,93596,0.19,8807
817,23,80071,0.11,24224
581,18,150613,0.72,33143
619,21,93601,0.27,25766
742,28,49873,0.82,25715
614,61,187720,1,8398
676,43,91468,0.08,13202
588,54,46470,0.47,28987
736,40,28328,0.8,36740
576,46,157405,0.79,12312
802,38,141173,0.76,21354
815,65,66638,0.35,14627
649,62,31268,0.45,35113
745,62,133920,0.59,29758
649,66,130379,0.97,41409
436,44,168117,0.33,29486
542,56,191813,0.92,16099
842,57,193842,0.27,47153
339,30,27887,0.99,42412
528,40,44918,0.67,2611
847,33,55497,0.46,32657
522,47,113562,0.61,19462
305,21,31929,0.27,11773
621,57,122201,0.27,24763
767,33,136566,0.11,39547
374,48,48546,0.11,43218
303,59,188410,0.35,30063
417,42,185355,0.76,40918
803,61,102494,0.61,17737
740,29,66566,0.1,46360
493,43,105464,0.85,14861
691,54,148279,0.6,43523
325,65,101991,0.96,31284
734,50,112680,0.67,23428
472,45,48013,0.18,1711
599,26,72132,0.47,14706
625,29,179156,0.65,29078
709,22,127855,0.03,11924
417,69,172215,0.01,46841
524,45,111627,0.13,16921
831,52,142772,0.25,26432
412,22,165251,0.43,18813
439,51,161294,0.49,40212
300,63,84068,0.14,44452
389,51,175021,0.67,4420
619,30,36116,0.6,3068
849,56,71369,0.29,40927
438,59,199889,0.01,5806
810,62,123100,0.08,40612
558,65,49655,0.39,31539
309,31,67632,0.15,12683
560,28,165265,0.38,20615
471,59,181848,0.63,36674
312,55,194297,0.55,21575
467,21,199884,0.23,20807
620,50,38895,0.34,21441
618,24,172281,0.61,22578
628,58,43086,0.86,12117
849,25,105637,0.75,4665
718,54,178279,0.55,45390
394,68,127334,0.36,10348
617,27,171969,0.37,49266
535,60,83083,0.88,29783
633,32,115028,0.04,8882
675,55,86957,0.99,6289
758,32,117551,0.66,14910
436,22,98506,0.68,41566
846,46,158355,0.04,32983
812,36,114024,0.61,37176
595,68,101481,0.48,18545
619,27,20255,0.11,31289
648,29,35487,0.28,47727
528,21,39346,0.89,5090
569,48,55050,0.55,44801
590,35,28744,0.41,16362
464,33,175828,0.07,23074
304,57,81596,0.71,31835
678,53,176218,0.7,14783
377,42,139640,0.61,45162
709,40,75032,0.51,36749
431,29,62687,0.43,41833
341,51,197175,0.59,4554
388,53,173048,0.23,46347
701,54,82863,0.94,19773
595,20,151663,0.59,9158
594,26,26277,0.31,2014
825,35,81860,0.45,47295
721,60,153332,0.81,31331
322,52,44741,0.16,46640
442,51,139720,0.29,47969
444,58,57211,0.68,43986
524,31,192614,0.32,37481
802,21,26869,0.79,8585
403,46,107616,0.13,5122
338,58,114515,0.76,43660
497,62,170494,0.07,17838
690,67,186685,0.01,18301
478,32,80110,0.9,24107
747,45,54033,0.58,23625
799,59,65213,0.35,38142
314,33,32938,0.23,1489
588,29,150842,0.62,1984
777,69,22274,0.51,18344
530,22,104390,0.99,35550
719,51,182887,0.98,15959
456,59,170033,0.64,48310
849,18,40044,0.44,39751
740,56,119372,0.49,2869
396,49,173047,0.68,45264
710,43,34706,0.1,31268
588,34,157046,0.33,20028
553,65,96464,0.08,40606
495,44,41213,0.07,14550
821,41,21950,0.2,6702
816,52,30411,0.49,14027
417,63,148603,0.78,45628
458,59,197228,0.49,33743
527,56,82744,0.34,25459
515,43,168843,0.08,23286
314,66,55053,0.55,7032
456,55,158117,0.27,2825
560,40,77623,0.61,12554
456,39,49714,0.98,49101
346,21,185458,0.11,13470
623,66,129283,0.21,4770
429,26,28562,0.47,28268
710,21,75048,0.97,1029
394,24,113295,0.77,31083
591,40,32026,0.9,9958
582,19,126147,0.33,49270
368,66,51589,0.99,9806
310,41,128199,0.1,33162
553,57,117274,0.05,10196
849,48,46844,0.86,35889
433,64,174519,0.93,28702
322,48,110415,0.09,36777
645,64,74708,0.11,8739
601,57,90825,0.03,25599
662,65,71574,0.1,37827
695,68,105548,0.21,12285
517,60,169884,0.97,32147
440,51,84230,0.67,30727
509,41,192700,0.78,3910
759,66,60581,0.78,15674
655,43,197700,0.54,19354
623,33,45105,0.8,31676
432,64,99830,0.6,27114
426,30,89157,0.31,24039
405,32,183514,0.56,45929
677,44,107235,0.53,32831
350,21,22347,0.82,44884
328,33,67650,0.98,26146
761,47,168182,0.41,46819
595,61,155995,0.76,18626
596,47,144926,0.1,18096
706,53,101147,0.78,32308
704,20,68135,0.37,14054
645,39,39199,0.04,15070
719,66,160138,0.36,43253
481,39,121583,0.61,27250
300,67,112290,0.12,15413
670,67,187647,0.92,12855
730,66,140787,0.08,39921
608,29,197805,0.93,6587
436,38,134427,0.71,9827
501,21,168063,0.33,26785
735,48,173625,0.39,32864
612,61,107493,0.74,32311
416,48,151706,0.6,7861
543,40,32771,0.67,11804
836,37,145607,0.39,14979
374,32,169370,0.49,2297
685,40,99876,0.99,48513
509,45,187071,0.21,1357
774,33,79648,0.42,48201
717,54,95783,0.29,17624
646,38,64440,0.77,11796
828,32,51655,0.76,24238
478,34,63039,0.29,29640
481,67,75255,0.08,41883
324,54,92219,0.01,32857
479,30,31244,0.43,20942
800,36,114594,0.41,4860
460,47,78595,0.99,46211
476,62,190623,0.47,5447
584,35,123898,0.26,21523
362,31,48371,0.89,35735
455,53,179950,0.49,40347
768,53,187229,0.6,5849
348,37,25914,0.1,25718
383,69,47180,0.38,40935
660,36,154760,0.94,23326
447,62,100219,0.59,8466
641,61,98616,0.34,23789
775,24,160988,0.63,28135
362,61,115213,0.91,46117
659,21,178432,0.27,31262
626,51,57805,0.51,25435
440,19,164525,0.96,35787
514,22,146599,0.17,39942
734,27,173775,0.72,16689
617,49,94176,0.61,40860
331,59,114799,0.68,44273
584,58,118385,0.35,3355
604,30,108919,0.31,32928
728,56,158482,0.68,1333
776,22,101462,0.22,36330
585,27,199340,0.42,15776
443,27,185320,0.19,28014
723,55,51159,0.01,35563
318,44,62039,0.97,16270
317,68,67800,0.43,32279
670,38,60761,0.97,34021
474,25,114626,0.14,4657
493,18,138368,0.59,24886
801,45,194735,0.2,43383
412,66,100903,0.79,4237
413,56,191484,0.78,37099
521,31,138998,0.11,2027
563,38,186439,0.91,15199
354,47,156885,0.19,47051
757,38,79894,0.61,45954
461,66,71444,0.99,14781
679,26,185341,0.88,16120
386,34,81748,0.96,25289
354,22,61190,0.34,6983
775,48,60318,0.11,2093
477,69,188090,0.19,5789
690,57,144078,0.5,3912
648,55,59759,0.79,48879
307,60,36498,0.15,22873
612,36,45989,0.66,15332
742,53,176640,0.32,17564
627,67,137035,0.34,13259
353,50,86577,0.66,43180
538,30,125231,0.47,21526
528,31,181171,0.81,22113
350,50,109900,0.16,17006
563,46,191711,0.79,22643
717,60,124679,0.06,25413
395,66,43482,0.19,43523
387,53,89212,0.66,31122
377,61,50048,0.85,5684
587,27,154137,0.25,8854
419,48,153108,0.33,23357
790,23,55814,0.54,40185
751,18,167996,0.21,18946
799,24,149493,0.81,14127
464,44,80204,0.77,44466
481,38,52844,0.15,30404
768,45,101943,0.46,23888
306,33,41518,0.77,18401
629,63,168131,0.34,16428
450,40,43052,0.63,37422
384,69,89803,0.05,48765
446,37,91524,0.61,47510
680,55,109572,0.15,42717
847,42,159752,0.83,12971
584,45,87021,0.36,49159
381,22,40043,0.28,23482
813,38,22419,0.84,20968
822,35,141831,0.05,17565
685,64,121799,0.4,7829
770,23,168212,0.37,11487
418,46,194556,0.28,36435
695,36,196282,0.91,33625
831,50,77600,0.75,43759
560,18,136467,0.06,17287
555,62,98497,0.71,39941
525,20,128611,0.53,43459
352,59,157559,0.9,48976
799,38,80692,0.31,47003
805,52,82112,0.57,14663
663,58,182182,0.5,10176
579,57,36360,0.49,16072
457,20,103038,0.46,6516
358,42,23017,0.21,32832
427,62,106261,0.76,20689
414,55,86320,0.45,19599
508,62,51127,0.96,17509
825,37,154268,0.26,36388
820,69,95088,0.68,10200
536,61,192372,0.94,26789
580,62,51921,0.66,12896
658,51,24746,0.87,22931
500,38,88535,0.83,24087
577,65,85350,0.36,24753
534,40,101131,0.6,34464
793,23,42063,0.16,3270
303,68,137116,0.54,27091
741,30,108913,0.23,42994
328,66,98946,0.74,17060
408,40,197043,0.53,43495
374,26,154670,0.41,42773
445,34,30564,0.27,26587
427,19,69725,1,48852
341,36,106134,0.07,30729
655,36,125940,0.04,26594
340,24,82085,0.22,15816
333,59,37862,0.97,40485
316,59,30265,0.98,22304
